input_power_dut,output_power_dut,gain,sg_power,dc_power,efficiency,V_carrier_CH1,V_carrier_CH2,I_carrier_CH1,I_carrier_CH2,frequency_ghz
-0.625,-8.400000000000002,-7.775000000000002,0.0,2.13385086,0.006773855651495368,2.8174,27.9922,0.0003,0.0762,1.4
0.375,-6.940000000000001,-7.315000000000001,1.0,2.14226382,0.00944337088546952,2.8174,27.9924,0.0003,0.0765,1.4
1.375,-6.030000000000005,-7.405000000000005,2.0,2.1481363300000003,0.011612832445056937,2.8173,27.9923,0.0004,0.0767,1.4
2.375,-5.440000000000001,-7.815000000000001,3.0,2.15626002,0.01325253224040647,2.8174,27.9924,0.0003,0.077,1.4
3.375,-4.430000000000003,-7.805000000000003,4.0,2.1733294400000003,0.016591071578252854,2.8174,27.9923,0.0004,0.0776,1.4
4.375,-3.2900000000000027,-7.665000000000003,5.0,2.18734121,0.02143302471520959,2.8174,27.9925,0.0004,0.0781,1.4
5.375,-2.150000000000002,-7.525000000000002,6.0,2.20412888,0.02765432197595307,2.8175,27.9924,0.0004,0.0787,1.4
6.375,-2.1800000000000033,-8.555000000000003,7.0,2.2097194300000003,0.027394467665694203,2.8174,27.9923,0.0004,0.0789,1.4
7.375,-2.4400000000000013,-9.815000000000001,8.0,2.2013296,0.02590090426625562,2.8174,27.9924,0.0004,0.0786,1.4
8.375,0.33999999999999986,-8.035,9.0,2.27132682,0.04761243259998742,2.8174,27.9926,0.0004,0.0811,1.4
9.375,1.6799999999999997,-7.695,10.0,2.3718015,0.062075705004517416,2.8174,27.9924,0.0003,0.0847,1.4
-11.015,-20.455,-9.439999999999998,-10.0,2.11427142,0.00042593101066969386,2.8174,27.9924,0.0003,0.0755,1.5
-10.015,-18.384999999999998,-8.369999999999997,-9.0,2.1145456499999997,0.0006859349545397596,2.8175,27.9923,0.0004,0.0755,1.5
-9.015,-18.714999999999996,-9.699999999999996,-8.0,2.1145532,0.000635742702842051,2.8175,27.9924,0.0004,0.0755,1.5
-8.015,-18.405,-10.39,-7.0,2.11456071,0.0006827785068846449,2.8174,27.9925,0.0004,0.0755,1.5
-7.015000000000001,-18.275,-11.259999999999998,-6.0,2.11735996,0.0007025954028522874,2.8174,27.9925,0.0004,0.0756,1.5
-6.015000000000001,-16.384999999999998,-10.369999999999997,-5.0,2.1173448400000003,0.001085696418380303,2.8174,27.9923,0.0004,0.0756,1.5
-5.015000000000001,-16.435000000000002,-11.420000000000002,-4.0,2.11706313,0.0010734113702461211,2.8175,27.9923,0.0003,0.0756,1.5
-4.015000000000001,-15.454999999999998,-11.439999999999998,-3.0,2.12015164,0.001343176472119583,2.8174,27.9924,0.0004,0.0757,1.5
-3.0150000000000006,-13.755000000000003,-10.740000000000002,-2.0,2.12015164,0.0019867035867022517,2.8174,27.9924,0.0004,0.0757,1.5
-2.0150000000000006,-14.134999999999998,-12.119999999999997,-1.0,2.1229357200000005,0.0018178713936507181,2.8174,27.9922,0.0004,0.0758,1.5
-1.0150000000000006,-13.825000000000003,-12.810000000000002,0.0,2.12575012,0.001949789771329938,2.8174,27.9924,0.0004,0.0759,1.5
-0.015000000000000568,-12.055,-12.04,1.0,2.12854176,0.002926966992787891,2.8174,27.9923,0.0004,0.076,1.5
0.9849999999999994,-11.524999999999999,-12.509999999999998,2.0,2.1341326,0.0032982122476197446,2.8174,27.9922,0.0004,0.0762,1.5
1.9849999999999994,-10.255000000000003,-12.240000000000002,3.0,2.13974632,0.0044069458264561915,2.8174,27.9924,0.0004,0.0764,1.5
2.9849999999999994,-9.335,-12.32,4.0,2.14815175,0.005425440967274296,2.8175,27.9925,0.0004,0.0767,1.5
3.9849999999999994,-7.954999999999998,-11.939999999999998,5.0,2.1621402400000003,0.007406553093634459,2.8174,27.9924,0.0004,0.0772,1.5
4.984999999999999,-7.015000000000001,-12.0,6.0,2.17612867,0.009137248352124091,2.8174,27.9923,0.0004,0.0777,1.5
5.984999999999999,-6.284999999999997,-12.269999999999996,7.0,2.19291622,0.010726992084489885,2.8174,27.9922,0.0004,0.0783,1.5
6.984999999999999,-5.524999999999999,-12.509999999999998,8.0,2.20971939,0.01268127362391814,2.8173,27.9923,0.0004,0.0789,1.5
7.984999999999999,-4.325000000000003,-12.310000000000002,9.0,2.2377197200000003,0.016507994323716437,2.8174,27.9924,0.0004,0.0799,1.5
8.985,-3.7149999999999963,-12.699999999999996,10.0,2.2657121200000003,0.018762697301747934,2.8174,27.9924,0.0004,0.0809,1.5
-10.7,-17.564999999999998,-6.864999999999998,-10.0,2.11456067,0.0008284758432627827,2.8173,27.9925,0.0004,0.0755,1.6
-9.7,-16.254999999999995,-6.554999999999996,-9.0,2.11175392,0.0011216482703553553,2.8174,27.9924,0.0004,0.0754,1.6
-8.7,-15.115000000000002,-6.415000000000003,-8.0,2.11173888,0.0014583433447521665,2.8175,27.9922,0.0004,0.0754,1.6
-7.699999999999999,-15.104999999999997,-7.404999999999998,-7.0,2.11176146,0.0014616895440850897,2.8174,27.9925,0.0004,0.0754,1.6
-6.699999999999999,-14.204999999999998,-7.504999999999999,-6.0,2.1114872899999995,0.001798504498558138,2.8175,27.9926,0.0003,0.0754,1.6
-5.699999999999999,-13.445,-7.745000000000001,-5.0,2.1117614999999996,0.0021421759149056353,2.8175,27.9925,0.0004,0.0754,1.6
-4.699999999999999,-11.665,-6.965,-4.0,2.10896221,0.0032317012201309395,2.8174,27.9925,0.0004,0.0753,1.6
-3.6999999999999993,-11.174999999999997,-7.474999999999998,-3.0,2.10896225,0.003617688705246069,2.8175,27.9925,0.0004,0.0753,1.6
-2.6999999999999993,-10.265,-7.565000000000001,-2.0,2.1061629600000003,0.004466918504903287,2.8174,27.9925,0.0004,0.0752,1.6
-1.6999999999999993,-9.165,-7.465,-1.0,2.10615548,0.005754526198488074,2.8175,27.9924,0.0004,0.0752,1.6
-0.6999999999999993,-7.664999999999999,-6.965,0.0,2.1033562,0.008139302209976895,2.8174,27.9924,0.0004,0.0751,1.6
